epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4449,0.70523,4.11276,1.02842,0.47882,0.54776,0.58895,0.53345,0.47826,1.77343,0.83146,9.47886e-05,9.47886e-05,9.47886e-05
2,38.5414,0.69634,2.36046,1.0403,0.71995,0.8888,0.89248,0.80035,0.49303,0.89305,0.85351,0.000186357,0.000186357,0.000186357
3,54.6793,0.67425,1.76147,1.01428,0.88347,0.96296,0.94055,0.84134,0.47178,0.83019,0.84962,0.000274151,0.000274151,0.000274151
4,71.174,0.63151,1.52454,0.99389,0.9362,0.99335,0.99315,0.87966,0.48144,0.64017,0.84687,0.000269012,0.000269012,0.000269012
5,87.6181,0.64422,1.32869,0.99564,0.96474,0.99444,0.98368,0.88643,0.44842,0.60895,0.84421,0.000263349,0.000263349,0.000263349
6,103.993,0.63761,1.29788,0.98953,0.95071,0.99263,0.99121,0.88828,0.46639,0.56377,0.85262,0.000257686,0.000257686,0.000257686
7,120.633,0.59233,1.15869,0.97295,0.97921,0.99444,0.98037,0.87895,0.45899,0.48628,0.84306,0.000252023,0.000252023,0.000252023
8,137.407,0.61671,1.1122,0.97135,0.97854,0.99444,0.98224,0.8738,0.4977,0.45205,0.8438,0.00024636,0.00024636,0.00024636
9,155.145,0.62703,1.09574,0.9978,0.96627,0.99444,0.98308,0.8905,0.44354,0.4549,0.83578,0.000240698,0.000240698,0.000240698
10,171.818,0.58318,1.04704,0.96829,0.97702,0.99247,0.98614,0.89356,0.43691,0.43223,0.83285,0.000235035,0.000235035,0.000235035
11,188.776,0.56094,0.99976,0.94809,0.97453,0.9937,0.98156,0.89637,0.42429,0.41957,0.82301,0.000229372,0.000229372,0.000229372
12,205.468,0.59256,1.00192,0.98346,0.97568,0.99097,0.98049,0.89235,0.4333,0.40543,0.82682,0.000223709,0.000223709,0.000223709
13,222.279,0.55734,0.94082,0.95171,0.96585,0.99444,0.99017,0.89906,0.42871,0.40321,0.82286,0.000218046,0.000218046,0.000218046
14,238.939,0.56094,0.89809,0.9635,0.96265,0.99444,0.98308,0.89293,0.44345,0.41872,0.81975,0.000212384,0.000212384,0.000212384
15,255.609,0.56829,0.88614,0.9579,0.97739,0.99094,0.98324,0.89871,0.4252,0.39997,0.81237,0.000206721,0.000206721,0.000206721
16,272.073,0.53867,0.85097,0.94804,0.97866,0.99444,0.97809,0.89817,0.41931,0.37537,0.81232,0.000201058,0.000201058,0.000201058
17,288.333,0.54101,0.82815,0.94217,0.97575,0.99444,0.98324,0.90379,0.40511,0.38096,0.81446,0.000195395,0.000195395,0.000195395
18,307.682,0.53751,0.79615,0.93827,0.974,0.99444,0.98534,0.90934,0.40757,0.35944,0.81495,0.000189732,0.000189732,0.000189732
